ID,User_id,follower_count,likes,dislikes,effective_love,shares,reposts,comments,score
1,1,1825778,838921,75040,763881,7742,1310,4120,367.4097556229461
2,2,9643024,414934,29181,385753,6650,76,23515,711.9015198950892
3,3,8503359,541640,62915,478725,4875,1598,14567,266.18726835331927
4,4,7221335,440641,87267,353374,7745,1804,18435,547.4449677973106
5,5,531538,359755,78213,281542,7362,198,41274,162.95685567240855
6,6,3659998,300975,7855,293120,4801,380,13735,-307.6423169272779
7,7,1580281,112344,87252,25092,8246,522,33161,-154.57960540918089
8,8,9401550,469943,62651,407292,7488,1627,42491,888.9729699952795
9,9,9675555,890587,50770,839817,214,917,33623,220.1791999603022
10,10,840530,380985,58571,322414,6445,3,688,-187.0709420021989
11,11,2246084,521332,1138,520194,2564,73,35622,-86.64549807146054
12,12,5333702,868109,73590,794519,9436,364,39528,1320.6127266668614
13,13,9903872,7123,82169,-75046,7406,1082,6347,-142.21105838140318
14,14,4097391,636970,52656,584314,7256,1730,7054,397.9296563134169
15,15,2701945,846760,94075,752685,7671,1729,46883,952.6251051269501
16,16,447604,79294,97312,-18018,3217,774,31217,-1056.1364748438589
17,17,9229322,889615,56571,833044,1187,1085,30816,289.0564499171935
18,18,6694,517599,79394,438205,2991,540,35547,-474.3235378383547
19,19,865693,523702,48847,474855,9090,138,27803,558.9215529675657
20,20,5676011,59939,2345,57594,9798,1351,6254,91.66868639468039
21,21,3417721,499125,459,498666,3834,1001,35400,-110.22205823618691
22,22,1522262,489931,77345,412586,2559,1944,31464,-297.539300805469
23,23,8613890,938062,75442,862620,460,1347,41157,316.14259193668016
24,24,2756625,490934,8678,482256,9609,690,11705,423.07613938475555
25,25,1589454,964192,58623,905569,3224,1475,29450,181.34326540417158
26,26,5527407,971337,76860,894477,9825,448,42915,1513.3098577161957
27,27,2448724,353348,41499,311849,5081,1474,18321,-331.2543327915366
28,28,5174732,927697,48843,878854,1120,83,33606,326.57901521828217
29,29,3479693,614472,69600,544872,7780,1842,8469,446.0319158855578
30,30,3856727,897733,16284,881449,7217,1458,28365,849.4252545798765
31,31,6449082,159628,21810,137818,3690,1161,909,-687.7616117490971
32,32,3116467,236891,93090,143801,2362,1123,14465,-967.2240054900899
33,33,7618001,326717,28354,298363,7077,283,12508,316.4166613254856
34,34,2452129,270336,98078,172258,4419,390,31293,-423.2840240217262
35,35,6194300,68624,53116,15508,8026,1752,39390,285.7964948713969
