ID,score
7001,-448
7002,56
7003,-360
7004,478
7005,126
7006,-358
7007,145
7008,55
7009,474
7010,-148
7011,161
7012,-115
7013,-193
7014,434
7015,176
7016,-360
7017,177
7018,-66
7019,-15
7020,24
7021,-101
7022,489
7023,140
7024,-27
7025,203
7026,263
7027,143
7028,314
7029,-473
7030,128
7031,-16
7032,444
7033,218
7034,-381
7035,492
7036,473
7037,97
7038,-87
7039,262
7040,-148
7041,-443
7042,-484
7043,-443
7044,373
7045,-299
7046,427
7047,146
7048,236
7049,-46
7050,187
7051,-205
7052,356
7053,273
7054,115
7055,296
7056,-11
7057,-13
7058,-297
7059,487
7060,-473
7061,289
7062,460
7063,-406
7064,361
7065,368
7066,-392
7067,257
7068,-379
7069,-160
7070,102
7071,-61
7072,-20
7073,44
7074,-320
7075,395
7076,-232
7077,-120
7078,60
7079,-428
7080,-385
7081,-273
7082,-377
7083,491
7084,429
7085,-319
7086,-498
7087,353
7088,138
7089,-171
7090,202
7091,-240
7092,123
7093,27
7094,335
7095,296
7096,136
7097,-62
7098,186
7099,-41
7100,185
7101,114
7102,137
7103,166
7104,-369
7105,190
7106,454
7107,-139
7108,-356
7109,-396
7110,-12
7111,-105
7112,150
7113,-350
7114,451
7115,420
7116,-298
7117,-291
7118,-41
7119,-142
7120,-372
7121,197
7122,470
7123,-46
7124,-383
7125,-100
7126,198
7127,-262
7128,40
7129,409
7130,-369
7131,25
7132,91
7133,126
7134,-309
7135,-288
7136,138
7137,239
7138,84
7139,-36
7140,203
7141,-122
7142,430
7143,-455
7144,383
7145,354
7146,-25
7147,402
7148,-311
7149,-118
7150,418
7151,-181
7152,135
7153,-277
7154,-269
7155,-7
7156,-304
7157,52
7158,-487
7159,-471
7160,292
7161,25
7162,365
7163,-37
7164,-290
7165,315
7166,-426
7167,-309
7168,-261
7169,281
7170,171
7171,415
7172,-493
7173,-492
7174,-262
7175,-453
7176,276
7177,-390
7178,-132
7179,-264
7180,73
7181,406
7182,-259
7183,40
7184,33
7185,-369
7186,-478
7187,308
7188,-164
7189,192
7190,-408
7191,276
7192,-324
7193,84
7194,389
7195,119
7196,-295
7197,-80
7198,-329
7199,324
7200,493
7201,146
7202,-317
7203,11
7204,185
7205,-398
7206,-398
7207,343
7208,55
7209,477
7210,-20
7211,-234
7212,-432
7213,-71
7214,-313
7215,-74
7216,-485
7217,369
7218,89
7219,50
7220,221
7221,375
7222,8
7223,-243
7224,-369
7225,293
7226,137
7227,-175
7228,237
7229,-288
7230,-56
7231,-254
7232,-40
7233,-94
7234,-497
7235,488
7236,106
7237,19
7238,367
7239,-21
7240,399
7241,166
7242,275
7243,-382
7244,-257
7245,34
7246,-317
7247,464
7248,-390
7249,233
7250,26
7251,-279
7252,269
7253,190
7254,323
7255,373
7256,199
7257,59
7258,457
7259,355
7260,188
7261,-430
7262,41
7263,-471
7264,-174
7265,-342
7266,400
7267,-398
7268,-455
7269,267
7270,318
7271,-250
7272,-216
7273,217
7274,-33
7275,-264
7276,214
7277,-255
7278,-62
7279,468
7280,-218
7281,176
7282,-233
7283,-173
7284,-230
7285,-292
7286,-457
7287,94
7288,295
7289,-253
7290,-405
7291,-361
7292,-294
7293,-33
7294,98
7295,-9
7296,-379
7297,54
7298,318
7299,-299
7300,-379
7301,-267
7302,267
7303,-368
7304,-394
7305,-432
7306,460
7307,-13
7308,-364
7309,38
7310,-124
7311,251
7312,244
7313,-267
7314,259
7315,-11
7316,-298
7317,465
7318,-230
7319,157
7320,-62
7321,-397
7322,388
7323,-179
7324,418
7325,414
7326,294
7327,138
7328,-81
7329,-243
7330,-17
7331,184
7332,-438
7333,297
7334,-75
7335,-181
7336,335
7337,-257
7338,-271
7339,76
7340,-222
7341,30
7342,-185
7343,-175
7344,-83
7345,-110
7346,343
7347,382
7348,-376
7349,244
7350,-298
7351,-364
7352,-115
7353,0
7354,411
7355,-69
7356,79
7357,-421
7358,292
7359,464
7360,-374
7361,-483
7362,-45
7363,-422
7364,-490
7365,-495
7366,-326
7367,-486
7368,123
7369,-351
7370,433
7371,89
7372,-185
7373,231
7374,-454
7375,-33
7376,51
7377,28
7378,-106
7379,19
7380,285
7381,64
7382,-331
7383,-388
7384,167
7385,48
7386,-375
7387,206
7388,7
7389,-291
7390,-199
7391,408
7392,-453
7393,271
7394,9
7395,-113
7396,161
7397,452
7398,153
7399,303
7400,236
7401,390
7402,-75
7403,463
7404,497
7405,-102
7406,160
7407,-211
7408,297
7409,-317
7410,-96
7411,-134
7412,-449
7413,-293
7414,135
7415,-36
7416,73
7417,231
7418,98
7419,61
7420,90
7421,263
7422,-387
7423,-46
7424,261
7425,-139
7426,-469
7427,-135
7428,251
7429,-236
7430,202
7431,329
7432,330
7433,-43
7434,141
7435,471
7436,-136
7437,-210
7438,27
7439,-473
7440,207
7441,-395
7442,110
7443,-3
7444,-388
7445,-109
7446,285
7447,494
7448,110
7449,-214
7450,-411
7451,488
7452,-153
7453,-9
7454,-282
7455,17
7456,491
7457,154
7458,-496
7459,-299
7460,-147
7461,214
7462,-29
7463,-61
7464,247
7465,448
7466,69
7467,0
7468,-466
7469,363
7470,-317
7471,221
7472,285
7473,36
7474,274
7475,-419
7476,180
7477,-272
7478,57
7479,-28
7480,-493
7481,-7
7482,-392
7483,220
7484,372
7485,161
7486,-68
7487,190
7488,27
7489,-227
7490,447
7491,498
7492,34
7493,-406
7494,-358
7495,69
7496,-494
7497,212
7498,-311
7499,-167
7500,-487
7501,234
7502,-441
7503,-433
7504,453
7505,81
7506,-216
7507,-53
7508,124
7509,237
7510,-177
7511,297
7512,-289
7513,-377
7514,-193
7515,425
7516,-374
7517,-137
7518,435
7519,-122
7520,313
7521,458
7522,13
7523,-167
7524,253
7525,350
7526,6
7527,106
7528,150
7529,-226
7530,-217
7531,-421
7532,-145
7533,-274
7534,491
7535,304
7536,141
7537,189
7538,319
7539,-98
7540,479
7541,100
7542,-285
7543,192
7544,280
7545,116
7546,148
7547,-377
7548,268
7549,30
7550,307
7551,181
7552,-481
7553,92
7554,81
7555,-54
7556,106
7557,381
7558,306
7559,211
7560,-3
7561,-201
7562,-93
7563,-21
7564,-178
7565,-430
7566,-225
7567,-180
7568,366
7569,-50
7570,-391
7571,143
7572,-433
7573,-355
7574,436
7575,-212
7576,353
7577,-450
7578,495
7579,-282
7580,33
7581,166
7582,75
7583,-314
7584,-176
7585,83
7586,3
7587,23
7588,-338
7589,418
7590,-4
7591,-388
7592,-128
7593,470
7594,-333
7595,414
7596,421
7597,336
7598,290
7599,30
7600,104
7601,-339
7602,-109
7603,377
7604,399
7605,464
7606,473
7607,473
7608,-285
7609,-421
7610,207
7611,-373
7612,417
7613,-197
7614,254
7615,-13
7616,466
7617,-445
7618,369
7619,257
7620,427
7621,-160
7622,-457
7623,392
7624,102
7625,478
7626,-134
7627,-374
7628,-240
7629,-444
7630,-172
7631,166
7632,189
7633,-152
7634,226
7635,393
7636,107
7637,111
7638,372
7639,7
7640,301
7641,-228
7642,145
7643,40
7644,65
7645,75
7646,-59
7647,487
7648,411
7649,482
7650,417
7651,412
7652,87
7653,4
7654,-217
7655,-376
7656,-161
7657,385
7658,-36
7659,-363
7660,-169
7661,-128
7662,-245
7663,-67
7664,102
7665,-297
7666,399
7667,-17
7668,246
7669,-218
7670,-364
7671,365
7672,85
7673,-211
7674,-279
7675,-464
7676,-193
7677,-169
7678,151
7679,-277
7680,173
7681,405
7682,-139
7683,431
7684,-300
7685,128
7686,-446
7687,74
7688,-43
7689,98
7690,-187
7691,46
7692,459
7693,-22
7694,59
7695,381
7696,94
7697,230
7698,407
7699,-208
7700,86
7701,-471
7702,4
7703,-66
7704,385
7705,427
7706,-227
7707,154
7708,-321
7709,-324
7710,168
7711,167
7712,19
7713,331
7714,411
7715,-304
7716,-221
7717,-65
7718,-4
7719,63
7720,428
7721,-472
7722,369
7723,404
7724,474
7725,12
7726,349
7727,-366
7728,-483
7729,376
7730,-330
7731,-127
7732,-494
7733,-95
7734,52
7735,-266
7736,37
7737,279
7738,-303
7739,343
7740,-157
7741,494
